id,password,last_login,is_superuser,username,firstname,lastname,email,is_staff,is_active,date_joined
0,cpvecltt.097,,True,user01,Tu,Huong,user01@gmail.com,True,True,
1,cpvecltt.097,,False,user02,Dang,Phi,user02@gmail.com,False,True,
2,cpvecltt.097,,False,user03,Tran,Nhat,user03@gmail.com,False,True,
3,cpvecltt.097,,False,user04,Nguyen,Hoang,user04@gmail.com,False,True,
4,cpvecltt.097,,False,user05,Tran,Kien,user05@gmail.com,False,True,
5,cpvecltt.097,,False,user06,Tu,Trang,user06@gmail.com,False,True,
6,cpvecltt.097,,False,user07,Dang,Ngan,user07@gmail.com,False,True,
7,cpvecltt.097,,False,user08,Tran,My,user08@gmail.com,False,True,
8,cpvecltt.097,,False,user09,Nguyen,Hung,user09@gmail.com,False,True,
9,cpvecltt.097,,False,user10,Tran,Anh,user10@gmail.com,False,True,
10,cpvecltt.097,,False,user11,Tu,Diem,user11@gmail.com,False,True,
11,cpvecltt.097,,False,user12,Dang,Trinh,user12@gmail.com,False,True,
12,cpvecltt.097,,False,user13,Tran,Son,user13@gmail.com,False,True,
13,cpvecltt.097,,False,user14,Nguyen,Hien,user14@gmail.com,False,True,
14,cpvecltt.097,,False,user15,Tran,Luong,user15@gmail.com,False,True,
15,cpvecltt.097,,False,user16,Tu,Nam,user16@gmail.com,False,True,
16,cpvecltt.097,,False,user17,Dang,Lam,user17@gmail.com,False,True,
17,cpvecltt.097,,False,user18,Tran,Trung,user18@gmail.com,False,True,
18,cpvecltt.097,,False,user19,Nguyen,Han,user19@gmail.com,False,True,
19,cpvecltt.097,,False,user20,Tran,Nguyen,user20@gmail.com,False,True,
20,cpvecltt.097,,False,user21,Tu,Duc,user21@gmail.com,False,True,
21,cpvecltt.097,,False,user22,Dang,Huong,user22@gmail.com,False,True,
22,cpvecltt.097,,False,user23,Tran,Phi,user23@gmail.com,False,True,
23,cpvecltt.097,,False,user24,Nguyen,Nhat,user24@gmail.com,False,True,
24,cpvecltt.097,,False,user25,Tran,Hoang,user25@gmail.com,False,True,
25,cpvecltt.097,,False,user26,Tu,Kien,user26@gmail.com,False,True,
26,cpvecltt.097,,False,user27,Dang,Trang,user27@gmail.com,False,True,
27,cpvecltt.097,,False,user28,Tran,Ngan,user28@gmail.com,False,True,
28,cpvecltt.097,,False,user29,Nguyen,My,user29@gmail.com,False,True,
29,cpvecltt.097,,False,user30,Tran,Hung,user30@gmail.com,False,True,
30,cpvecltt.097,,False,user31,Tu,Anh,user31@gmail.com,False,True,
31,cpvecltt.097,,False,user32,Dang,Diem,user32@gmail.com,False,True,
32,cpvecltt.097,,False,user33,Tran,Trinh,user33@gmail.com,False,True,
33,cpvecltt.097,,False,user34,Nguyen,Son,user34@gmail.com,False,True,
34,cpvecltt.097,,False,user35,Tran,Hien,user35@gmail.com,False,True,
35,cpvecltt.097,,False,user36,Tu,Luong,user36@gmail.com,False,True,
36,cpvecltt.097,,False,user37,Dang,Nam,user37@gmail.com,False,True,
37,cpvecltt.097,,False,user38,Tran,Lam,user38@gmail.com,False,True,
38,cpvecltt.097,,False,user39,Nguyen,Trung,user39@gmail.com,False,True,
39,cpvecltt.097,,False,user40,Tran,Han,user40@gmail.com,False,True,
40,cpvecltt.097,,False,user41,Tu,Nguyen,user41@gmail.com,False,True,
41,cpvecltt.097,,False,user42,Dang,Duc,user42@gmail.com,False,True,
42,cpvecltt.097,,False,user43,Tran,Huong,user43@gmail.com,False,True,
43,cpvecltt.097,,False,user44,Nguyen,Phi,user44@gmail.com,False,True,
44,cpvecltt.097,,False,user45,Tran,Nhat,user45@gmail.com,False,True,
45,cpvecltt.097,,False,user46,Tu,Hoang,user46@gmail.com,False,True,
46,cpvecltt.097,,False,user47,Dang,Kien,user47@gmail.com,False,True,
47,cpvecltt.097,,False,user48,Tran,Trang,user48@gmail.com,False,True,
